Source,Source2,Exposure,Plant,N,Medazepam,clominorex,bupropion,Bupranolol,"3-(3,4-dichlorobenzyl)-4H-1-benzothiin-4-one","2,4-DB","2,4-Diamino-6-chloropyrimidine",Imidazole + Cl*,"4-(4-chlorophenoxy)-3,5-dimethyl-1H-pyrazole",4-CPA,ciproximide,seclazone,H-?-Chloro-Ala-OH,doxefazepam,cloxyquin,Metolazone,AE1300200,Moclobemide,N1-(3-chlorophenyl)acetamide,DG6650000,Arecoline + 2Cl*,2-Chlorobenzoic acid,Arecoline + 3Cl*,Valine + 2Cl*,Guanine + Cl*,Histamine + Cl*,"2-chloro-1,3,8-trihydroxy-6-(hydroxymethyl)-9,10-dihydroanthracene-9,10-dione",Val-Phe + Cl*,Ethychlozate,Guvacine + 2Cl*,"(1S,2R,3S,5S,6S,16E,18E,20R,21S)-11-Chloro-21-hydroxy-12,20-dimethoxy-2,5,16-trimethyl-8,23-dioxo-4,24-dioxa-9,22-diazatetracyclo[19.3.1.1~10,14~.0~3,5~]hexacosa-10(26),11,13,16,18-pentaen-6-yl 2-meth
ylpropanoate","1-Methyl-1,4-dihydronicotinamide + Cl*",N2-(4-chlorophenyl)thiophene-2-carboxamide,6-Chlorotryptophan,Chlortoluron,AL8225000,Carmustine,"2-Chloro-N-(2,6-diethylphenyl)acetamide","N2-({(1S,3S,4R,5R)-3-[(3-chloro-4-fluorobenzoyl)amino]-1,4,5-trihydroxycyclohexyl}carbonyl)-D-leucinamide","4-{5-[(3S)-1-(4-Chlorobenzyl)-3-pyrrolidinyl]-1,3,4-oxadiazol-2-yl}-N,N-dimethylaniline",Levodopa + Cl*,2-(2-chlorophenyl)-1H-indole,2-Amino-6-chloropurine,Pentanamide + Cl*,N5-[2-(4-chlorophenyl)-2-oxoethyl]-1-ethyl-3-methyl-4-nitro-1H-pyrazole-5-carboxamide,"4-{3-[(5-chloro-1,3-benzothiazol-2-yl)oxy]phenyl}morpholine","2-amino-5-chloro-cis,cis-muconic 6-semialdehyde",N-{6-[(7-chloro-4-quinazolinyl)oxy]-3-pyridinyl}-4-methoxybenzamide,Quinoclamine,6-Chloro-7-nitroquinoxaline,Dibutyl malate + Cl*,4-acetamindobutyric acid + 2Cl*,2-pyridone + Cl*,5-chloro-3-phenylbenzo[c]isoxazole,Val-Pro + Cl*,13S-hydroxyoctadecadienoic acid + 3Cl*,2-Pyrrolidone + 2Cl*,Valerolactam + Cl*,NSC 444,5-chlorocytosine,Val-Trp + 2Cl*,Lamotrigine,Valerolactam + 2Cl*,"9,12,13-Trihydroxy-10,15-octadecadienoic acid + Cl*",1-(3-Chloro-2-fluorophenyl)-3-(dimethylamino)prop-2-en-1-one,13(S)-HpOTrE + Cl*,(Z)-4-Chloro-N-(3-ethoxy-1-hydroxy-3-oxopropylidene)tryptophan,"2,4-Dichlorophenol",p-Chloroacetophenone,"2-[(2-chlorobenzyl)sulfanyl]-4,6-dimethylnicotinonitrile",Tyramine + Cl*,Acetyl proline + Cl*,n-butylamine + 2Cl*,2-Amino-5-chlorophenol,SJ5700000, 12-oxo-phytodienoic acid + Cl*,Leu-Pro + Cl*,Dibutyl sebacate + 2Cl*,1-Hydroperoxy-L-tryptophan + Cl*,Pinellic acid + 2Cl*,"1-[3-(3,4-dichlorophenoxy)-2-hydroxypropyl]piperidine-4-carboxamide",A-12(13)-EpODE + Cl*,Dopamine + 2Cl*,"N'-{6-[(5-chloro-3-pyridyl)oxy]-3-pyridyl}-N,N-dimethyliminoformamide",Phloionolic acid + 3Cl*,Fenclonine,Traumatic Acid + Cl*,Dopamine + 3Cl*,Dopamine + Cl*,Bis(2-chloroethyl)amine,3-Chlorotyrosine,N1-(1-benzyl-4-piperidyl)-4-chlorobenzene-1-sulfonamide,"3,5-Dichlorotyrosine"
Bleach,Bleach high,Concentrated bleach,Euonymus,1,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,23881.101859999995,0.0,0,0.0,0.0,1440432.9353,0.0,235670.56643333333,0.0,0.0,0.0,2627348.5316066667,0.0,0,4090320.0700333333,0,0,0.0,0,3192708.2250666665,0.0,0,1517939.2864333333,0.0,0.0,456070.77574,0.0,0.0,0.0,16274175.717966666,0.0,0,0.0,0.0,7022747.771033334,0.0,0.0,0,0.0,1163990.81585,0.0,58586.91348999999,2430006.0587666663,0,0.0,2277328.5368233332,0,6185918.411333334,30571296.4593,580107.161333333,343746.55789999996,0,0,15632701.784459999,1306715.2777666666,0.0,0,0.0,0.0,0,1313986.8000000007,740944.6583433334,0,0.0,5563227.807333333,0,1390893.6365,8659908.616256667,2175341.6883333335,0,9731990.529333334,0.0,1992949.2718999998,0,0.0,2691811.2607733333,5618645.791566666,28413.802873333338,0,0,6843454.603,36398106.01166667,1634784540.4163334,34100470.46503334
Bleach,Bleach high,Concentrated bleach,Euonymus,2,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,84529.76069999998,0.0,29607.438933333324,0.0,0.0,615414.3767,0.0,623383.1404333333,0.0,0.0,0.0,1037247.0516066666,0.0,0,2051457.0620333333,0,0,0.0,0,564875.6581666666,0.0,0,907397.1734333332,0.0,0.0,156532.82684,0.0,0.0,0.0,16988511.03796667,0.0,0,0.0,0.0,4286583.786033333,0.0,0.0,0,0.0,856507.41025,0.0,27537.488590000008,8445560.621766666,0,0.0,4869317.755823334,0,7633230.168333333,28410641.3293,0,438661.9039,0,0,23188573.43446,1090058.9507666666,0.0,0,0.0,0.0,0,4979832.5,410028.65444333333,202810.7273333338,0.0,0,0,393360.2082,17566263.264256667,0,0,4552278.543333333,0.0,578748.81,0,0.0,1561396.1397733332,3575501.9625666663,22796.67583333334,0,0,11740842.576000001,11852298.921666667,1076351760.4163334,10582004.095033333
Bleach,Bleach high,Concentrated bleach,Euonymus,3,0.0,0.0,410054.01141333336,0,0.0,0.0,0,0.0,0.0,256892.502,0.0,30779.63493333332,0.0,0.0,1044550.9233,0.0,971771.7003333332,0.0,0.0,0.0,1611362.8036066669,0.0,18222.556376666667,3868477.6350333337,0,0,0.0,0,678768.3201666666,0.0,0,3186375.8694333336,0.0,0.0,426171.30634,0.0,0.0,0.0,16510367.677966667,0.0,0,0.0,0.0,7074082.650033333,0.0,0.0,0,0.0,3290155.48585,0.0,222500.48969000002,9382946.088766666,0,0.0,11979175.308823334,0,12925389.324333332,35382550.9093,1212851.306333333,514710.6206999999,0,0,30359425.654459998,3727551.474766667,0.0,235905.31133,0.0,0.0,0,139054.0799999982,1467769.9165433333,155794.64633333357,0.0,233127.3343333332,0,1908872.1015,35755570.31425667,1083590.5913333334,0,100896.23743333333,0.0,2066640.0528999998,0,0.0,6795318.396773334,7930602.695566667,51323.896323333334,0,0,17438151.666,28685348.37166667,1002021571.4163333,22622096.825033333
Bleach,Bleach high,Concentrated bleach,Grass,1,0.0,0.0,349921.6627466667,0,0.0,0.0,1344545.7069,0.0,0.0,5239385.5408,0.0,0,0.0,0.0,4011399.3538666666,0.0,0,0.0,0.0,0.0,982132.9333266667,0.0,80686.39771666666,267045.52600000007,0,0,0.0,0,355270.24319999997,0.0,69888.96899999992,273696.7362333333,0.0,0.0,117882.03180666665,0.0,0.0,0.0,0,0.0,0,0.0,0.0,7604951.833493333,0.0,0.0,73919.21220000007,0.0,514213.4306866667,0.0,1114520.28835,0,0,0.0,623388.8702733334,0,4755201.749366666,22674329.21866667,1280442.4836666666,252339.43813333334,0,0,8009849.178033333,3907879.348966667,0.0,26948.817333333325,0.0,0.0,0,0,4657534.734206666,0,0.0,0,67595.71903333331,4043465.7434000005,3535745.341303333,24706230.0291,0,5178804.922333333,0.0,8449561.231966667,0,0.0,1758666.8265766667,2760761.743333333,33356.045873333336,0,0,160317536.32596666,102559172.15166666,1037163991.872,118407429.40166667
Bleach,Bleach high,Concentrated bleach,Grass,2,0.0,0.0,804927.5216466667,0,0.0,0.0,0,0.0,0.0,5802882.4138,0.0,0,0.0,0.0,3620396.102866667,0.0,500086.72510000004,0.0,0.0,0.0,1236163.7983266667,0.0,157316.30971666667,1997719.7820000004,0,0,0.0,0,396893.81690000003,0.0,0,778520.6455333333,0.0,0.0,278683.12360666663,0.0,0.0,0.0,0,0.0,0,0.0,0.0,16147797.401493333,0.0,0.0,114514.70680000004,0.0,1001096.9502866666,0.0,1567550.77835,675653.6384999999,18059.309890000004,0.0,2636863.861273333,0,11794892.795366667,29523114.748666666,1832735.2606666668,34620.11683333333,0,0,13011016.272033334,5618080.536966667,0.0,358836.45703333337,0.0,0.0,0,203169.41000000015,3277422.2332066665,0,0.0,27764.967209999988,56763.889233333306,20876875.4914,12563767.320303334,18652489.3791,0,12707068.297333334,0.0,5124443.004966667,0,0.0,5846092.411576667,3776060.986333334,41849.312803333334,0,0,197579631.62596667,93335560.49166666,976652418.772,103512716.20166665
Bleach,Bleach high,Concentrated bleach,Grass,3,0.0,0.0,584530.3220466666,0,0.0,0.0,217945.7351,0.0,0.0,2632081.1278,0.0,0,0.0,0.0,3440183.4588666665,0.0,231872.1431,0.0,0.0,0.0,750747.5200266667,0.0,68035.39441666668,356105.3370000003,0,0,0.0,0,397435.86610000004,0.0,98658.58829999994,1024569.6055333333,0.0,0.0,120497.20330666668,0.0,0.0,0.0,0,0.0,0,0.0,0.0,9249406.624493333,0.0,0.0,2242046.0769,0.0,1046964.6302866666,0.0,1862829.30335,146606.1926,0,0.0,3214274.393273333,0,8830282.450366667,21451507.14866667,902724.0786666668,11514.973833333352,0,0,10341613.782033334,3118676.945966667,0.0,162110.60683333332,0.0,0.0,0,0,1652785.2432066668,0,0.0,2922.7707099999825,198302.2789333333,3042100.2594000003,10160001.140303334,11975929.699099999,0,7206288.284333333,0.0,3540728.5379666663,0,0.0,2304702.519576667,3795920.152333333,24659.657663333335,0,0,149912166.42596665,92849665.04166666,783973045.6719999,122159994.20166665
Bleach,Bleach high,Concentrated bleach,Nettle,1,0.0,0.0,1712375.324,1186262.2,0.0,0.0,243735.3802,0.0,0.0,63544.83923,0.0,84150.97555,0.0,0.0,3362060.014,0.0,2208694.468,0.0,0.0,0.0,750176.413,0.0,214701.3492,5615842.909,540453.5229,720148.8657,0.0,106158.3892,1509414.378,0.0,45948.46873,2833477.155,0.0,0.0,1386216.041,0.0,0.0,0.0,14601357.52,0.0,442693.4438,0.0,0.0,8524875.711,0.0,0.0,15172510.52,0.0,2358018.322,0.0,4576740.171,5954029.992,72947.57944,0.0,13097622.55,80745.35592,20499220.28,25831717.13,3553417.359,156206.215,119810.4299,955205.1619,23677816.91,9559409.211,0.0,988787.7212,0.0,0.0,939049.2448,38113313.64,870066.7766,2553805.974,0.0,310541.9824,81642.96668,5711438.654,59502775.74,10245062.92,1124927.146,24747184.97,0.0,6024890.73,166335.9707,0.0,9339802.888,10161319.8,161067.2533,114556.5788,1795314.876,320737391.2,108181569.3,1294399371.0,90173781.19
Bleach,Bleach high,Concentrated bleach,Nettle,2,0.0,0.0,1956736.237,2231865.962,0.0,0.0,218707.4315,0.0,0.0,158540.3473,0.0,107142.057,0.0,0.0,4447987.66,0.0,1421203.295,0.0,0.0,0.0,905932.9075,0.0,267472.6532,5995046.124,1524762.946,591446.5403,0.0,129831.956,3517272.888,0.0,211057.2285,3335599.452,0.0,0.0,906863.6756,0.0,0.0,0.0,34066191.22,0.0,522645.5962,0.0,0.0,10841154.03,0.0,0.0,5872165.89,0.0,2221493.214,0.0,13275770.9,3060719.441,325574.8502,0.0,9182743.993,102001.3024,23082945.59,30049673.46,4181621.977,714606.1011,173032.8625,1140241.105,26491984.94,11344122.89,0.0,678610.0835,0.0,0.0,806865.7919,29556969.93,1624947.308,2891911.467,0.0,263294.7902,240141.5903,8789482.147,41272398.51,14325684.89,859851.6078,26814637.17,0.0,14760301.76,229097.9369,0.0,10312532.1,12984863.05,67154.63944,157141.4609,2441133.978,622478780.1,190131804.3,2513280414.0,143239786.0
Bleach,Bleach high,Concentrated bleach,Nettle,3,171546.6595,0.0,457254.2776,2927206.0,0.0,0.0,97918.76612,97630.22856,0.0,61448.00067,0.0,203017.5916,748683.6608,179613.7392,1795656.954,0.0,867729.3242,0.0,0.0,0.0,59782.10861,0.0,117304.9219,2465563.761,1078876.402,857066.5011,95420.50991,101419.5005,682107.8293,5270218.49,249464.616,2218115.831,0.0,0.0,56634.65064,0.0,4954942.204,296896.7598,21420621.58,1726449.937,574831.8452,0.0,6002986.066,7235568.633,152029.8663,0.0,6771372.781,626942.6565,268627.6838,0.0,2259595.124,3000509.598,67679.61666,0.0,7767081.948,362889.9439,21021687.12,20337733.48,2620008.194,333194.8338,131172.9255,980134.1793,6239668.403,3679711.747,0.0,1429107.783,50769.07073,952219.5371,1300843.377,30870795.07,533486.6146,3505979.94,0.0,123136.9768,92584.54244,13688847.54,33980588.6,537886.945,737190.47,11696274.41,15126372.36,1641478.25,196483.9662,89935038.32,3577097.015,7982435.821,34236.03567,172528.5783,2014765.779,560491301.4,83557567.67,96651150.35,41664098.56
Bleach,Bleach high,Concentrated bleach,Nettle,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12242288.83,0.0,0.0,0.0,0.0,0.0,14457714.45,0.0,11615948.5,0.0,0.0,0.0,0.0,9176046.588,0.0,0.0,0.0,0.0,30559109.46,0.0,35089712.37,0.0,0.0,0.0,0.0,0.0,0.0,34560158.24,8602622.211,0.0,0.0,10721820.01,0.0,33597414.43,29881286.51,0.0,0.0,0.0,0.0,26762215.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193978542.2,0.0,0.0,0.0,39423076.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17474551.06,0.0,0.0,0.0,0.0,72231110.21,0.0,44414558.56
Bleach,Bleach high,Concentrated bleach,Nettle,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15085800.99,0.0,0.0,0.0,0.0,0.0,20495837.91,0.0,9345253.708,0.0,0.0,0.0,0.0,11537675.14,0.0,0.0,0.0,0.0,35246466.61,0.0,23567448.16,0.0,0.0,0.0,0.0,0.0,0.0,36976796.1,11872745.33,0.0,0.0,16843105.37,0.0,42871683.7,40358485.99,0.0,0.0,0.0,0.0,33331754.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289956105.5,0.0,0.0,0.0,63167757.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19064621.91,0.0,0.0,0.0,0.0,89882482.62,0.0,65295987.29
Bleach,Bleach high,Concentrated bleach,Nettle,6,0.0,0.0,6203446.768,0.0,0.0,0.0,0.0,12636983.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16100913.63,0.0,0.0,0.0,0.0,0.0,23639243.09,0.0,11892071.01,0.0,0.0,0.0,0.0,14718392.57,0.0,0.0,0.0,0.0,38786349.38,0.0,32668694.17,0.0,0.0,0.0,0.0,0.0,0.0,30466899.38,7677164.239,0.0,0.0,19395361.73,0.0,45136735.65,30839471.03,0.0,0.0,0.0,0.0,27036376.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,264516219.4,0.0,0.0,0.0,77085064.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23900471.41,0.0,0.0,0.0,0.0,79717603.46,0.0,45924535.7
Bleach,Bleach low,Household bleach,Euonymus,1,0,0.0,0,0,0.0,0.0,0,1211610.0911666667,0.0,160648.5564,0.0,149353.5376333333,508069.9863666666,380534.86046666664,2942471.5663,0.0,3397655.7593333335,0.0,0.0,0.0,1581194.0336066668,0.0,31546.376756666672,3240455.916033333,0,1558906.5888,236493.90143333335,0,0,1810519.7249999999,0,6499644.377433333,0.0,0.0,38564.88504000001,0.0,3200156.8813333334,2797452.1092533334,21902325.257966667,1333870.7120666667,0,0.0,8331907.544800001,10900612.925033333,8578.0441,0.0,138201.3286666667,0,212623.48285000003,0.0,51627.64219,2822558.8267666665,755.1574166666542,0.0,8758490.515823334,449761.70963333326,20807377.544333335,11705377.339300001,0,519768.45339999994,0,0,3311366.28946,15851197.194766667,0.0,15366106.09233,43411.87734,0,0,2063369.7099999972,2722940.361543333,529144.8053333336,0.0,0,0,28118766.6675,50280378.12425666,13489917.098333335,0,78823831.68033333,5302881.045266667,9556882.8289,82595.85893333334,68464336.08466667,14608606.254773334,2782932.0045666667,19070.501953333336,0,0,21605225.156,6973669.615666668,69012484.45633334,7016469.157033333
Bleach,Bleach low,Household bleach,Euonymus,2,0,0.0,333095.95151333336,1222652.799,0.0,0.0,0,0,0.0,19062.35897,0.0,0,360302.1833666668,207100.53596666668,914792.7903,0.0,3150079.2503333334,0.0,0.0,0.0,1506813.2426066669,0.0,28080.082446666675,2253174.0150333336,0,1819239.0548,0,0,0,0,0,5092639.115433333,0.0,0.0,65402.43114,0.0,2693588.8463333333,8765436.767253334,18725358.28796667,3510574.5370666664,0,0.0,40497167.1028,4359362.128033333,119872.30120000002,0.0,0,0,93595.81195000002,0.0,113536.27589,2436480.7547666663,4875.893696666666,0.0,5408649.714823334,1862025.9125333333,8789192.414333334,4023282.9612999996,0,0,0,0,0,23330866.86476667,0.0,22045362.00233,57168.98466000001,0,0,0,537062.0885433333,501811.20533333346,0.0,0,0,69864770.6475,38732213.324256666,12496555.578333333,0,50206784.94033334,32197644.652266666,13949874.1239,0,181693397.58466664,530571.4932733333,0,136153.22169333333,0,0,19161586.326,4995322.865666667,73280949.93633333,3542505.3530333336
Bleach,Bleach low,Household bleach,Euonymus,3,0,0.0,0,944763.2000000007,0.0,0.0,0,14753.771366666668,0.0,64033.928799999994,0.0,0,0,1944989.8963666668,1192681.6702999999,0.0,568220.0329333333,0.0,0.0,0.0,1367783.5106066668,0.0,129359.8058366667,3852545.3280333336,0,0,477542.83873333334,0,0,5962259.87,0,3398112.6274333335,0.0,0.0,0,0.0,1697744.3693333336,63348.380153333346,14430165.537966667,505908.86376666673,0,0.0,9260241.262799999,11883136.925033333,0,0.0,0,2406723.2667333335,237137.36145000003,0.0,52599.10489,6383938.298766666,0,0.0,7375983.354823333,2241458.6535333334,16887956.664333332,20017628.629300002,0,22055.19179999997,0,0,6375127.07746,8540837.405766668,0.0,5895172.60833,2828.5956600000063,0,0,0,2472754.4885433335,208817.47233333346,0.0,888047.486333333,23152015.46666667,27891716.6475,33529390.354256667,19688076.208333336,0,78130703.88033333,1732396.4882666664,5895526.3209,0,93665124.18466666,28287472.894773334,3088074.4905666662,10663.121273333334,0,0,13143396.625999998,15392463.271666666,54660120.946333334,11067273.395033333
Bleach,Bleach low,Household bleach,Grass,1,0,0.0,303457.3098466667,1142688.0216666665,0.0,0.0,0,0,0.0,121970.4301,0.0,0,8985838.380666666,0,514944.05706666666,0.0,1799913.4909,0.0,0.0,0.0,59588.410126666655,0.0,39700.49086666667,3019261.518,0,5298739.2509,0,25996.290866666663,0,0,0,5095810.138533333,0.0,0.0,36422.35720666665,0.0,10351577.078666667,24540621.5321,0,34172286.38643333,0,0.0,40861610.852066666,12363080.651493333,0,0.0,0,0,7558.15998666668,0.0,126565.88195000001,1285105.0675,78533.64509,0.0,9691288.361273333,0,9988696.875366667,4007481.980666667,0,3032468.686933333,0,0,0,39013200.08096667,0.0,41834943.898933336,57378.20209666666,0,101436.73399999994,0,176282.49570666667,0,0.0,19951.738309999986,0,235525612.1614,41626228.26030333,83377300.46910001,0,28681985.737333335,67760528.5815,25268917.336966667,0,532518595.962,1480158.2355766667,0,54260.79546333333,0,0,36315415.22596667,0,4933615.667,0
Bleach,Bleach low,Household bleach,Grass,2,0,0.0,400347.9153466667,472619.66866666684,0.0,0.0,0,0,0.0,129543.75829999999,0.0,0,13657502.400666665,0,757174.2941666667,0.0,2455866.3789,0.0,0.0,0.0,110473.21762666668,0.0,57208.53101666667,4330354.457,0,11545152.3919,0,49485.62186666667,0,0,0,7005448.277533334,0.0,0.0,138396.94400666666,0.0,15196387.968666667,33590661.182100005,0,27211265.236433335,0,0.0,15775789.702066667,16568017.081493333,0,0.0,0,36714.90426666662,39566.596786666676,0.0,196886.69745000004,1699076.9704999998,62289.33759000001,0.0,12278261.628273334,4637542.833199999,13876639.595366668,6603167.410666667,0,3123413.243933333,17182.9283,0,0,51298789.72096667,0.0,32827208.518933333,91647.17839666667,0,121446.85800000001,0,201173.93420666672,0,0.0,49284.72610999999,25469.33113333331,313417443.1614,55105345.50030333,112432850.9791,0,24308144.677333333,96362192.4315,36661298.61696667,0,573907465.662,549250.4288766667,0,96670.36051333333,0,0,49697777.34596667,0,6148097.193000001,0
Bleach,Bleach low,Household bleach,Grass,3,0,0.0,317176.35324666667,1076313.0246666665,0.0,0.0,0,0,0.0,565026.1754000001,0.0,0,5350797.576666666,0,443644.1066666667,0.0,3399429.8929000003,0.0,0.0,0.0,734.500316666672,0.0,0,1329218.726,0,4842552.7369,0,5807.966966666674,0,0,879856.7138999999,18124199.29253333,0.0,0.0,0,0.0,7741456.076666667,1092679.9971,0,4735659.044433333,0,0.0,7047762.580066667,6414583.538493333,0,0.0,0,18958065.562266666,46537.950086666664,0.0,89567.24455,6400255.2335,0,0.0,15509618.908273334,3372064.8502,22307816.325366665,3201681.375666667,0,0,0,0,0,12230118.730966667,0.0,20585609.84893333,0,0,0,0,232083.18080666667,0,0.0,0,14507.093133333314,53072152.5014,68642327.61030333,13378024.9891,0,22278224.047333334,93846179.3015,4466172.741966667,0,145534691.06199998,2854479.3785766666,0,0,0,0,65123215.27596667,626724.5706666664,11526889.422,3383713.9876666665
Bleach,Bleach low,Household bleach,Nettle,1,0,0.0,76330.31070666667,1935516.7993333335,0.0,0.0,0,486971.4252666667,0.0,197644.1325666667,0.0,0,8010044.205666666,0,0,0.0,9474038.807866666,0.0,0.0,0.0,52183.80060333332,0.0,88012.12008333333,3269044.127666666,0,0,0,27162.322199999995,0,0,0,18099207.930733334,0.0,0.0,445330.39134000003,0.0,0,4595567.277666667,0,4077406.6574333333,0,0.0,11604808.047133334,5904054.2201333335,64041.9696666667,0.0,5298329.664533334,0,0,0.0,665551.6456333332,0,28232.078800000003,0.0,19790262.812176667,1035024.1526333333,13063239.487266665,3727288.76,0,11436.122999999963,0,0,1068288.9571333334,8148831.246366667,0.0,43083803.11282667,139879.04100333335,0,0,0,2352115.712633333,0,0.0,28320.84169999999,0,10701524.271366667,91279095.97888666,977250.9100333335,0,34600042.0562,415361527.33743334,3017898.303133333,0,171664366.56963333,518213.54958666663,0,158116.35249000002,0,0,433132982.8437334,0,100530476.51166667,0
Bleach,Bleach low,Household bleach,Nettle,2,0,0.0,350079.3549066667,3679436.3213333334,0.0,0.0,0,1710549.5787666668,0.0,190029.74096666666,0.0,0,4213981.2716666665,0,0,0.0,391940.14956666663,0.0,0.0,0.0,125429.25750333334,0.0,158929.3387833333,4640922.294666667,0,1723612.9363333331,0,0,0,0,0,5191508.631733333,0.0,0.0,31911847.83424,0.0,9266170.727666665,17574308.996666666,0,3761102.8354333336,0,0.0,18963923.91713333,7028189.214133333,239096.3580666667,0.0,1986190.6115333335,0,1082.5000666666892,0.0,296028.4718333334,0,19887.216100000005,0.0,5125837.150176667,7920925.810633333,4674323.059266666,3500243.6909999996,0,3320410.6115,0,0,639803.2543333333,6501740.839366667,0.0,4700155.317826667,109395.03110333333,0,0,0,128713.42613333333,0,0.0,14199.57759999999,137884.6147,55222247.801366664,427854.1792866667,10369519.339033334,0,250466.8026,258441155.63743335,13841495.654133333,0,611573560.2696334,537961.1253866666,0,169395.98518999998,0,0,115222095.94373333,0,36037806.84166667,0
Bleach,Bleach low,Household bleach,Nettle,3,0,0.0,0,10992168.762333333,0.0,0.0,0,0,0.0,58229.81256666669,0.0,0,6722229.988666667,0,1953763.4518333334,0.0,15153717.875866666,0.0,0.0,0.0,438678.8236033333,0.0,81951.89608333334,6786134.807666666,0,18987923.561333332,0,0,0,0,1505840.3378333333,17743028.660733335,0.0,0.0,53668.54994000001,0.0,33349079.387666665,10957823.106666666,0,9020823.777433334,0,0.0,27917670.197133332,22860289.061133333,0,0.0,38129171.206533335,51159267.517699994,385062.4137666667,0.0,1165317.7866333332,15833809.396266667,424302.29310000007,0.0,37330604.532176666,15360083.286633333,67619929.67726667,21819876.083,0,1427829.0705,0,0,7636128.258133333,42551914.44236667,0.0,171971373.85282665,43149.25250333332,0,0,0,134246.87513333332,0,0.0,123454.85259999998,0,123686882.11136666,184113215.40888667,5528525.090033333,0,219604163.4762,284987164.5374333,5526171.750133334,0,156565222.76963332,19173214.91468667,3982842.013666667,23961.36385,0,0,254617143.94373333,8318675.470333332,65479994.82166667,7512046.3780000005
